2023-12-04 21:53:44 INFO  GraphReader:54 - graphs/add20.graph. Nodes: 2395, Edges: 7462
2023-12-04 21:53:44 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 598 ] [ Color: 1, Count: 599 ] [ Color: 2, Count: 599 ] [ Color: 3, Count: 599 ] 
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 55, edge cut:1861, swaps: 112360, migrations: 1801
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 56, edge cut:1860, swaps: 114351, migrations: 1802
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 57, edge cut:1860, swaps: 116349, migrations: 1805
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 58, edge cut:1860, swaps: 118341, migrations: 1804
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 59, edge cut:1859, swaps: 120301, migrations: 1802
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 60, edge cut:1859, swaps: 122286, migrations: 1799
2023-12-04 21:53:46 INFO  Jabeja:253 - round: 61, edge cut:1858, swaps: 124251, migrations: 1798
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 62, edge cut:1859, swaps: 126227, migrations: 1796
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 63, edge cut:1858, swaps: 128169, migrations: 1798
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 64, edge cut:1857, swaps: 130155, migrations: 1796
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 65, edge cut:1857, swaps: 132143, migrations: 1801
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 66, edge cut:1857, swaps: 134124, migrations: 1801
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 67, edge cut:1857, swaps: 136093, migrations: 1804
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 68, edge cut:1856, swaps: 138064, migrations: 1804
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 69, edge cut:1856, swaps: 140026, migrations: 1806
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 70, edge cut:1856, swaps: 142007, migrations: 1806
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 71, edge cut:1856, swaps: 143984, migrations: 1808
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 72, edge cut:1855, swaps: 145947, migrations: 1809
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 73, edge cut:1855, swaps: 147930, migrations: 1813
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 74, edge cut:1855, swaps: 149917, migrations: 1811
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 75, edge cut:1855, swaps: 151905, migrations: 1812
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 76, edge cut:1854, swaps: 153877, migrations: 1812
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 77, edge cut:1853, swaps: 155837, migrations: 1811
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 78, edge cut:1854, swaps: 157801, migrations: 1805
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 79, edge cut:1851, swaps: 159747, migrations: 1802
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 80, edge cut:1848, swaps: 161704, migrations: 1802
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 81, edge cut:1847, swaps: 163683, migrations: 1798
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 82, edge cut:1846, swaps: 165635, migrations: 1797
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 83, edge cut:1846, swaps: 167621, migrations: 1803
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 84, edge cut:1845, swaps: 169594, migrations: 1804
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 85, edge cut:1844, swaps: 171582, migrations: 1804
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 86, edge cut:1844, swaps: 173548, migrations: 1803
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 87, edge cut:1842, swaps: 175507, migrations: 1805
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 88, edge cut:1842, swaps: 177470, migrations: 1806
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 89, edge cut:1842, swaps: 179456, migrations: 1803
2023-12-04 21:53:47 INFO  Jabeja:253 - round: 90, edge cut:1841, swaps: 181418, migrations: 1797
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 91, edge cut:1841, swaps: 183365, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 92, edge cut:1841, swaps: 185316, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 93, edge cut:1841, swaps: 187273, migrations: 1798
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 94, edge cut:1840, swaps: 189214, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 95, edge cut:1840, swaps: 191213, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 96, edge cut:1840, swaps: 193195, migrations: 1805
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 97, edge cut:1840, swaps: 195172, migrations: 1808
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 98, edge cut:1838, swaps: 197175, migrations: 1807
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 99, edge cut:1838, swaps: 199178, migrations: 1803
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 100, edge cut:1837, swaps: 201156, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 101, edge cut:1836, swaps: 203114, migrations: 1801
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 102, edge cut:1836, swaps: 205067, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 103, edge cut:1837, swaps: 207056, migrations: 1797
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 104, edge cut:1837, swaps: 209034, migrations: 1798
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 105, edge cut:1837, swaps: 211022, migrations: 1795
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 106, edge cut:1837, swaps: 212988, migrations: 1796
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 107, edge cut:1838, swaps: 214976, migrations: 1801
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 108, edge cut:1838, swaps: 216935, migrations: 1798
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 109, edge cut:1838, swaps: 218917, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 110, edge cut:1838, swaps: 220869, migrations: 1797
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 111, edge cut:1838, swaps: 222845, migrations: 1804
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 112, edge cut:1837, swaps: 224837, migrations: 1805
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 113, edge cut:1836, swaps: 226832, migrations: 1807
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 114, edge cut:1836, swaps: 228798, migrations: 1805
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 115, edge cut:1836, swaps: 230761, migrations: 1807
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 116, edge cut:1835, swaps: 232751, migrations: 1807
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 117, edge cut:1835, swaps: 234759, migrations: 1804
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 118, edge cut:1834, swaps: 236737, migrations: 1802
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 119, edge cut:1834, swaps: 238706, migrations: 1801
2023-12-04 21:53:48 INFO  Jabeja:253 - round: 120, edge cut:1834, swaps: 240688, migrations: 1798
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 121, edge cut:1833, swaps: 242663, migrations: 1798
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 122, edge cut:1833, swaps: 244634, migrations: 1799
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 123, edge cut:1832, swaps: 246602, migrations: 1802
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 124, edge cut:1832, swaps: 248573, migrations: 1802
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 125, edge cut:1833, swaps: 250548, migrations: 1803
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 126, edge cut:1832, swaps: 252513, migrations: 1802
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 127, edge cut:1832, swaps: 254501, migrations: 1800
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 128, edge cut:1831, swaps: 256465, migrations: 1800
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 129, edge cut:1831, swaps: 258450, migrations: 1799
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 130, edge cut:1831, swaps: 260423, migrations: 1799
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 131, edge cut:1831, swaps: 262370, migrations: 1800
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 132, edge cut:1831, swaps: 264342, migrations: 1803
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 133, edge cut:1831, swaps: 266306, migrations: 1801
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 134, edge cut:1831, swaps: 268248, migrations: 1800
